Address	Function	Instruction
HEADER:0000000140000296		                dw 22h                  ; Characteristics
HEADER:00000001400002DE		                dw 8160h                ; Dll characteristics
HEADER:00000001400003AC		                dd 60000020h            ; Characteristics
HEADER:00000001400003D4		                dd 40000040h            ; Characteristics
HEADER:00000001400003FC		                dd 0C0000040h           ; Characteristics
HEADER:0000000140000424		                                        ; Characteristics
HEADER:000000014000044C		                dd 0C0000040h           ; Characteristics
HEADER:0000000140000474		                dd 0C0000040h           ; Characteristics
HEADER:000000014000049C		                dd 40000040h            ; Characteristics
HEADER:00000001400004C4		                dd 40000040h            ; Characteristics
HEADER:00000001400004EC		                dd 40000040h            ; Characteristics
HEADER:0000000140000514		                dd 42000040h            ; Characteristics
.text:0000000140CBED2F	sub_140CBECF0	                mov     ecx, 0Ah        ; Character
.text:0000000140CBF105	sub_140CBF000	                mov     ecx, 0Ah        ; Character
.text:0000000140CBF5A3	sub_140CBF500	                mov     ecx, 0Ah        ; Character
.text:0000000140CC9BD8	sub_140CC9A90	                lea     r8, aKeyword1BadCha ; "keyword \"@1\": bad character '0x@2'"
.text:0000000140DDFF9E	sub_140DDFF90	                lea     rax, aGenericInvalid ; "Generic_InvalidCharacterInName"
.text:0000000140DDFFA8	sub_140DDFF90	                lea     rcx, aGenericInvalid ; "Generic_InvalidCharacterInName"
.text:0000000140E0FBC5	sub_140E0FB90	                lea     rdx, aPChaosCharacte ; "p.Chaos.CharacterGroundConstraint.Exter"...
.text:0000000140E0FC35	sub_140E0FC00	                lea     rdx, aPChaosCharacte_0 ; "p.Chaos.CharacterGroundConstraint.Input"...
.text:0000000140E1249F	sub_140E12480	                lea     r9, aTheRatioBetwee ; "The ratio between characteristic time a"...
.text:0000000140E124B5	sub_140E12480	                lea     rdx, aPChaosCollisio_61 ; "p.Chaos.Collision.GBFCharacteristicTime"...
.text:0000000140E18505	sub_140E184D0	                lea     rdx, aPChaosSolverCh ; "p.Chaos.Solver.CharacterGroundConstrain"...
.text:0000000140ED0166	sub_140ED0130	                lea     rdx, aRShaderprintMa ; "r.ShaderPrint.MaxCharacters"
.text:0000000140F5F4B6	sub_140F5F4B0	                lea     rdx, aCharactermesh0 ; "CharacterMesh0"
.text:0000000140F5F732	sub_140F5F700	                lea     rdx, aPEnablecharact ; "p.EnableCharacterAccelerationReplicatio"...
.text:0000000140F60BEA	sub_140F60BE0	                lea     rdx, aLogcharacter ; "LogCharacter"
.text:0000000140F61AAF	sub_140F61A90	                lea     r9, aWhetherToApply_10 ; "Whether to apply character impact physi"...
.text:0000000140F61AC5	sub_140F61A90	                lea     rdx, aPApplycharacte ; "p.ApplyCharacterCollisionForceAsImpulse"
.text:0000000140F61B35	sub_140F61B00	                lea     rdx, aPAsynccharacte ; "p.AsyncCharacterMovement"
.text:0000000140F61FF5	sub_140F61FC0	                lea     rdx, aPDefercharacte ; "p.DeferCharacterMeshMovement"
.text:0000000140F62065	sub_140F62030	                lea     rdx, aPDefercharacte_0 ; "p.DeferCharacterMeshMovementForAllCorre"...
.text:0000000140F62BAF	sub_140F62B90	                lea     r9, aIfEnabledChara ; "If enabled, character acceleration will"...
.text:0000000140F62C1F	sub_140F62C00	                lea     r9, aIfEnabledChara_0 ; "If enabled, character velocity correcti"...
.text:0000000140F62DDF	sub_140F62DC0	                lea     r9, aWhenEnabledThi_1 ; "When enabled, this allows a character t"...
.text:0000000140F63225	sub_140F631F0	                lea     rdx, aPCharacterstuc ; "p.CharacterStuckWarningPeriod"
.text:0000000140F6358A	sub_140F63580	                lea     rdx, aLogcharactermo ; "LogCharacterMovement"
.text:0000000140F635DA	sub_140F635D0	                lea     rdx, aLogcharacterne ; "LogCharacterNetSmoothing"
