Address	Function	Instruction

.text:0000000145E1AC01	sub_145E1A9F0	                lea     rax, aAaocplayercont ; "AAoCPlayerController::AbandonQuests"

.text:0000000145E20F55	sub_145E20F30	                lea     rdx, aAaocplayercont_0 ; "AAoCPlayerController::ClientOpenCommiss"...

.text:0000000145E221C3	sub_145E21FA0	                lea     rax, aAaocplayercont_1 ; "AAoCPlayerController::ConfigureExpressi"...

.text:0000000145E2221F	sub_145E21FA0	                lea     rax, aAaocplayercont_1 ; "AAoCPlayerController::ConfigureExpressi"...

.text:0000000145E22329	sub_145E21FA0	                lea     rax, aAaocplayercont_1 ; "AAoCPlayerController::ConfigureExpressi"...

.text:0000000145E226B9	sub_145E21FA0	                lea     rax, aAaocplayercont_1 ; "AAoCPlayerController::ConfigureExpressi"...

.text:0000000145E2271E	sub_145E21FA0	                lea     rax, aAaocplayercont_1 ; "AAoCPlayerController::ConfigureExpressi"...

.text:0000000145E22807	sub_145E21FA0	                lea     rax, aAaocplayercont_1 ; "AAoCPlayerController::ConfigureExpressi"...

.text:0000000145E34367	sub_145E33F70	                lea     rax, aAaocplayercont_2 ; "AAoCPlayerController::OnRep_CurrentComm"...

.text:0000000145E343CE	sub_145E33F70	                lea     rax, aAaocplayercont_2 ; "AAoCPlayerController::OnRep_CurrentComm"...

.text:0000000145E34609	sub_145E33F70	                lea     rax, aAaocplayercont_2 ; "AAoCPlayerController::OnRep_CurrentComm"...

.text:0000000145E34CD8	sub_145E34B00	                lea     rax, aAaocplayercont_3 ; "AAoCPlayerController::OnRep_CurrentDial"...

.text:0000000145E34D33	sub_145E34B00	                lea     rax, aAaocplayercont_3 ; "AAoCPlayerController::OnRep_CurrentDial"...

.text:0000000145E34E11	sub_145E34B00	                lea     rax, aAaocplayercont_3 ; "AAoCPlayerController::OnRep_CurrentDial"...

.text:0000000145E3ECE2	sub_145E3E8B0	                lea     rax, aAaocplayercont_4 ; "AAoCPlayerController::UpdateCurrentComm"...

.text:0000000145E3ED48	sub_145E3E8B0	                lea     rax, aAaocplayercont_4 ; "AAoCPlayerController::UpdateCurrentComm"...

.text:0000000145E3EF81	sub_145E3E8B0	                lea     rax, aAaocplayercont_4 ; "AAoCPlayerController::UpdateCurrentComm"...

.text:0000000145ECB3FF	sub_145ECB190	                lea     rdx, aAaocplayercont_6 ; "AAoCPlayerController::TryLogoutXClient,"...

.text:0000000145EE4963	sub_145EE4890	                lea     rax, aAaocplayercont_7 ; "AAoCPlayerController::ClientHeadersUpTo"...

.text:0000000145EE49BE	sub_145EE4890	                lea     rax, aAaocplayercont_7 ; "AAoCPlayerController::ClientHeadersUpTo"...

