Address	Function	Instruction
.text:0000000140F6D17F	sub_140F6D0E0	                lea     r8, aListsNetguidsF ; "Lists NetGUIDs for actors"
.text:0000000140F6D186	sub_140F6D0E0	                lea     rdx, aNetListnetguid ; "net.ListNetGUIDs"
.text:0000000140F6D440	sub_140F6D3F0	                lea     rax, aBeaconnetguida ; "BeaconNetGUIDAck"
.text:0000000140F6DA40	sub_140F6D9F0	                lea     rax, aNetguidassign ; "NetGUIDAssign"
.text:0000000140F8DCD2	sub_140F8DCA0	                lea     rdx, aNetMaxserializ_1 ; "net.MaxSerializedNetGuids"
.text:0000000140F8DDD2	sub_140F8DDA0	                lea     rdx, aNetMaxserializ_2 ; "net.MaxSerializedReplayNetGuids"
.text:0000000140F8F3F9	sub_140F8F3D0	                lea     r9, aReservedSizeIn ; "Reserved size in bytes for NetGUID seri"...
.text:0000000140F8F406	sub_140F8F3D0	                lea     rdx, aNetReservednet ; "net.ReservedNetGuidSize"
.text:0000000140F8FCF6	sub_140F8FCF0	                lea     rdx, aImportednetgui ; "ImportedNetGuids"
.text:0000000140F8FFC6	sub_140F8FF20	                lea     rdx, aNetListnetguid_0 ; "net.ListNetGUIDExports"
.text:0000000140F90306	sub_140F90300	                lea     rdx, aNetguidinrate_0 ; "NetGUIDInRate"
.text:0000000140F90326	sub_140F90320	                lea     rdx, aNetguidoutrate_0 ; "NetGUIDOutRate"
.text:0000000140F904E6	sub_140F904E0	                lea     rdx, aNumnetguidsack_0 ; "NumNetGUIDsAckd"
.text:0000000140F90506	sub_140F90500	                lea     rdx, aNumnetguidspen_0 ; "NumNetGUIDsPending"
.text:0000000140F90526	sub_140F90520	                lea     rdx, aNumnetguidsuna_0 ; "NumNetGUIDsUnAckd"
.text:0000000140F90876	sub_140F90870	                lea     rdx, aOutnetguidkbyt ; "OutNetGUIDKBytesSec"
.text:0000000140F90A36	sub_140F90A30	                lea     rdx, aPendingouterne ; "PendingOuterNetGuids"
.text:0000000143F3B086	sub_143F3AF30	                lea     rdx, off_14A8A4C70 ; "SendBatchedDestructionInfo: NetGUID Cou"...
.text:0000000143F3B0AA	sub_143F3AF30	                lea     rdx, off_14A8A4D08 ; "SendBatchedDestructionInfo: NetGUID Cou"...
.text:0000000143F3BB1D	sub_143F3B910	                lea     rdx, off_14A8A4B80 ; "SendDestructionInfo: NetGUID <%s> Path:"...
.text:0000000143F3BB96	sub_143F3B910	                lea     rdx, off_14A8A4C10 ; "SendDestructionInfo: NetGUID <%s> Path:"...
.text:0000000143FD37F2	sub_143FD2C70	                lea     rdx, aNumnetguidsack ; "NumNetGUIDsAckd"
.text:0000000143FD383A	sub_143FD2C70	                lea     rdx, aNumnetguidspen ; "NumNetGUIDsPending"
.text:0000000143FD3882	sub_143FD2C70	                lea     rdx, aNumnetguidsuna ; "NumNetGUIDsUnAckd"
.text:0000000143FD3912	sub_143FD2C70	                lea     rdx, aNetguidoutrate ; "NetGUIDOutRate"
.text:0000000143FD395A	sub_143FD2C70	                lea     rdx, aNetguidinrate ; "NetGUIDInRate"
.text:00000001440233C1	sub_1440232C0	                lea     rbx, aNetguidmismatc ; jumptable 000000014402336E case 9
.text:000000014422C295	sub_14422BDA0	                lea     rdx, off_14A9D6A78 ; "Adding actor NetGUID <%s> to new connec"...
.text:00000001442641C5	sub_144264150	                lea     rdx, off_14A9E9970 ; "   BunchIndex: %d, ExportNetGUIDs: %d, "...
.text:00000001442663A2	sub_144265A10	                lea     rdx, off_14A9EA130 ; "FNetGUIDCache::CleanReferences: ObjectL"...
.text:000000014426701B	sub_144266E10	                lea     rdx, off_14A9EC0C8 ; "FNetGUIDCache::CollectReferences: Queue"...
