Address	Function	Instruction
.text:0000000140C8D933	sub_140C8D910	                lea     rdx, aHeaderPPayload ; "Header = %p, Payload = %p...%p, Page St"...
.text:0000000140E08749	sub_140E08720	                lea     r9, aWhenLogRespons ; "When log response payload, log json con"...
.text:0000000140E08DE5	sub_140E08DB0	                lea     rdx, aAnalyticsetPay ; "AnalyticsET.PayloadFlushTimeSecForWarni"...
.text:0000000140E08E3F	sub_140E08E20	                lea     r9, aPercentageOfTh ; "Percentage of the maximum payload for a"...
.text:0000000140E08E55	sub_140E08E20	                lea     rdx, aAnalyticsetPay_0 ; "AnalyticsET.PayloadPercentageOfMaxForWa"...
.text:0000000140E0EB55	sub_140E0EB20	                lea     rdx, aPAabbtreeUpdat ; "p.aabbtree.updatedirtyelementpayloads"
.text:0000000140E19065	sub_140E19030	                lea     rdx, aPMaxpayloadsiz ; "p.MaxPayloadSize"
.text:00000001410FC146	sub_1410FC140	                lea     rdx, aSendstoragepay ; "SendStoragePayload"
.text:0000000141186D76	sub_141186D70	                lea     rdx, aAuthrecievesto ; "AuthRecieveStoragePayload"
.text:0000000141187976	sub_141187970	                lea     rdx, aClientreceivea ; "ClientReceiveActionbarSlotPayload"
.text:0000000141187AD6	sub_141187AD0	                lea     rdx, aClientreceivel_0 ; "ClientReceiveLootStoragePayload"
.text:0000000141187C76	sub_141187C70	                lea     rdx, aClientreceives_3 ; "ClientReceiveStoragePayload"
.text:00000001411889B6	sub_1411889B0	                lea     rdx, aInterserverrec_1 ; "InterServerReceiveLootStoragePayload"
.text:00000001411889F6	sub_1411889F0	                lea     rdx, aInterserverrec_3 ; "InterServerReceiveStoragePayload"
.text:0000000141188A96	sub_141188A90	                lea     rdx, aInterserverret ; "InterServerRetrieveStoragePayload"
.text:000000014118C996	sub_14118C990	                lea     rdx, aServerretrieve ; "ServerRetrieveStoragePayload"
.text:000000014119BAF6	sub_14119BAF0	                lea     rdx, aClientreceiveg_1 ; "ClientReceiveGuildStorageItemPayload"
.text:000000014119BBB6	sub_14119BBB0	                lea     rdx, aClientreceives_3 ; "ClientReceiveStoragePayload"
.text:00000001412964C4	sub_1412964C0	                lea     rdx, aPayload   ; "_Payload"
.text:0000000141296E54	sub_141296E50	                lea     rdx, aPayloadBakemes ; "__Payload__BakeMeshes"
.text:0000000141296E84	sub_141296E80	                lea     rdx, aPayloadMeshglo ; "__Payload__MeshGlobalTransform"
.text:0000000141296EB4	sub_141296EB0	                lea     rdx, aPayloadRootjoi ; "__Payload__RootJointGlobalTransform"
.text:00000001412971C4	sub_1412971C0	                lea     rdx, aPayloadBakemes ; "__Payload__BakeMeshes"
.text:0000000141297244	sub_141297240	                lea     rdx, aPayloadMeshglo ; "__Payload__MeshGlobalTransform"
.text:00000001412972D4	sub_1412972D0	                lea     rdx, aPayloadRootjoi ; "__Payload__RootJointGlobalTransform"
.text:000000014129AC64	sub_14129AC60	                lea     rdx, aPayloadBakemes ; "__Payload__BakeMeshes"
.text:000000014129BA14	sub_14129BA10	                lea     rdx, aPayloadMeshglo ; "__Payload__MeshGlobalTransform"
.text:000000014129C4A4	sub_14129C4A0	                lea     rdx, aPayloadRootjoi ; "__Payload__RootJointGlobalTransform"
.text:000000014129D6B4	sub_14129D6B0	                lea     rdx, aPayloadBakemes ; "__Payload__BakeMeshes"
.text:000000014129D6E4	sub_14129D6E0	                lea     rdx, aPayloadMeshglo ; "__Payload__MeshGlobalTransform"
.text:000000014129D714	sub_14129D710	                lea     rdx, aPayloadRootjoi ; "__Payload__RootJointGlobalTransform"
.text:000000014129DAC4	sub_14129DAC0	                lea     rdx, aPayloadBakemes ; "__Payload__BakeMeshes"
.text:000000014129DE54	sub_14129DE50	                lea     rdx, aPayloadMeshglo ; "__Payload__MeshGlobalTransform"
.text:000000014129DE84	sub_14129DE80	                lea     rdx, aPayloadRootjoi ; "__Payload__RootJointGlobalTransform"
.text:000000014129E844	sub_14129E840	                lea     rdx, aPayloadBakemes ; "__Payload__BakeMeshes"
.text:00000001412A0C24	sub_1412A0C20	                lea     rdx, aPayloadMeshglo ; "__Payload__MeshGlobalTransform"
.text:00000001412A1CE4	sub_1412A1CE0	                lea     rdx, aPayloadRootjoi ; "__Payload__RootJointGlobalTransform"
.text:00000001412A53C4	sub_1412A53C0	                lea     rdx, aPayloadBakemes ; "__Payload__BakeMeshes"
.text:00000001412A6314	sub_1412A6310	                lea     rdx, aPayloadMeshglo ; "__Payload__MeshGlobalTransform"
.text:00000001412A6D64	sub_1412A6D60	                lea     rdx, aPayloadRootjoi ; "__Payload__RootJointGlobalTransform"
.text:00000001412A93C4	sub_1412A93C0	                lea     rdx, aPayloadBakemes ; "__Payload__BakeMeshes"
.text:00000001412AB394	sub_1412AB390	                lea     rdx, aPayloadMeshglo ; "__Payload__MeshGlobalTransform"
.text:00000001412AC494	sub_1412AC490	                lea     rdx, aPayloadRootjoi ; "__Payload__RootJointGlobalTransform"
.text:0000000141522199	sub_141522150	                lea     rdx, off_149E2A8C0 ; "Cannot pull payload '%s' as the virtual"...
.text:00000001415222DD	sub_1415222D0	                lea     rdx, off_149E2A820 ; "Cannot push payloads as the virtualizat"...
.text:00000001415C9873	sub_1415C9810	                lea     rax, aUpayload  ; jumptable 00000001415C9829 case 11
.text:00000001415CD00F	sub_1415CCDF0	                lea     rdx, aUpayload  ; ".upayload"
.text:00000001415DEA38	sub_1415DE970	                lea     rdx, off_149E51AB0 ; "Virtualized payload '%s' is corrupt! Ch"...
.text:00000001415DEADD	sub_1415DE970	                lea     rdx, off_149E51B50 ; "Failed to load payload '%s"
.text:00000001415DEB54	sub_1415DE970	                lea     rdx, off_149E51BA8 ; "Payload '%s' loaded from package '%s' i"...
.text:00000001415E076A	sub_1415E0720	                lea     rdx, off_149E50F20 ; "Cannot load a payload as the package pa"...
.text:00000001415E0896	sub_1415E0720	                lea     rdx, off_149E50FA8 ; "Cannot attempt to load the payload '%s'"...
.text:00000001415E093B	sub_1415E0720	                lea     rdx, off_149E51118 ; "Cannot attempt to load the payload '%s'"...
