+0x00598  0x14a59678c  "Cursor"  (qword at 0x14aa3e8b0)
+0x005d8  0x14aa3edd8  "CursorWidget"  (qword at 0x14aa3e8f0)
+0x01638  0x14aa3fbe0  "CurrentNetSpeed"  (qword at 0x14aa3f950)
+0x01670  0x14aa3fbf0  "ConfiguredInternetSpeed"  (qword at 0x14aa3f988)
+0x016a8  0x14aa3fc08  "ConfiguredLanSpeed"  (qword at 0x14aa3f9c0)
+0x022c0  0x14aa42a50  "CharacterId"  (qword at 0x14aa405d8)
+0x02448  0x14aa42b18  "SmoothTargetViewRotationSpeed"  (qword at 0x14aa40760)
+0x02728  0x14aa42d00  "ClientCap"  (qword at 0x14aa40a40)
+0x02768  0x14aa42d50  "CheatManager"  (qword at 0x14aa40a80)
+0x027a8  0x14aa42d98  "CheatClass"  (qword at 0x14aa40ac0)
+0x02fe8  0x14aa43270  "StreamingSourcePriority"  (qword at 0x14aa41300)
+0x03068  0x14aa43288  "StreamingSourceDebugColor"  (qword at 0x14aa41380)
+0x030e8  0x14aa432a8  "StreamingSourceShapes"  (qword at 0x14aa41400)
+0x03168  0x14aa432a8  "StreamingSourceShapes"  (qword at 0x14aa41480)
+0x03258  0x14aa432d8  "ClickEventKeys"  (qword at 0x14aa41570)
+0x03298  0x14aa432d8  "ClickEventKeys"  (qword at 0x14aa415b0)
+0x03318  0x14aa43340  "CurrentMouseCursor"  (qword at 0x14aa41630)
+0x03398  0x14aa43378  "CurrentClickTraceChannel"  (qword at 0x14aa416b0)
+0x03410  0x14aa433b0  "SeamlessTravelCount"  (qword at 0x14aa41728)
+0x03508  0x14aa43458  "CurrentTouchInterface"  (qword at 0x14aa41820)
+0x03598  0x14aa43490  "SpectatorPawn"  (qword at 0x14aa418b0)
+0x03618  0x14aa435a8  "SpawnLocation"  (qword at 0x14aa41930)
+0x03658  0x14aa435b8  "CachedConnectionPlayerId"  (qword at 0x14aa41970)
+0x03698  0x14aa435d8  "ClientHandshakeId"  (qword at 0x14aa419b0)
+0x03970  0x149e2815c  "Camera"  (qword at 0x14aa41c88)
+0x03980  0x14aa48b00  "CanRestartPlayer"  (qword at 0x14aa41c98)
+0x03990  0x14aa48b60  "ClearAudioListenerAttenuationOverride"  (qword at 0x14aa41ca8)
+0x039a0  0x14aa48dd0  "ClearAudioListenerOverride"  (qword at 0x14aa41cb8)
+0x039b0  0x14aa49388  "ClientAckTimeDilation"  (qword at 0x14aa41cc8)
+0x039c0  0x14aa49770  "ClientAckUpdateLevelVisibility"  (qword at 0x14aa41cd8)
+0x039d0  0x14aa49d28  "ClientAddTextureStreamingLoc"  (qword at 0x14aa41ce8)
+0x039e0  0x14aa49e28  "ClientCancelPendingMapChange"  (qword at 0x14aa41cf8)
+0x039f0  0x14aa49f10  "ClientCapBandwidth"  (qword at 0x14aa41d08)
+0x03a00  0x14aa49fb0  "ClientClearCameraLensEffects"  (qword at 0x14aa41d18)
+0x03a10  0x14aa4a128  "ClientCommitMapChange"  (qword at 0x14aa41d28)
+0x03a20  0x14aa4a228  "ClientEnableNetworkVoice"  (qword at 0x14aa41d38)
+0x03a30  0x14aa4a308  "ClientEndOnlineSession"  (qword at 0x14aa41d48)
