=== +0x240 scan results ===

[HIT] .text:00007FF6B93F2006 | sub_7FF6B93F0320 | add     r11, 240h
[HIT] .text:00007FF6B9C5DC65 | sub_7FF6B9C5D810 | vmovupd xmmword ptr [rcx+240h], xmm3
[HIT] .text:00007FF6B9C5E2F8 | sub_7FF6B9C5E220 | vmovupd xmm4, xmmword ptr [rcx+240h]
[HIT] .text:00007FF6B9C5E9F4 | sub_7FF6B9C5E220 | vmovupd xmmword ptr [rcx+240h], xmm16
[HIT] .text:00007FF6B9C5F070 | sub_7FF6B9C5F000 | add     r8, 240h
[HIT] .text:00007FF6B9C5F077 | sub_7FF6B9C5F000 | vmovsd  xmm21, qword ptr [rcx+r11+240h]
[HIT] .text:00007FF6B9C5FA55 | sub_7FF6B9C5FA30 | vmovupd xmm4, xmmword ptr [rcx+240h]
[HIT] .text:00007FF6B9C60207 | sub_7FF6B9C5FA30 | vmovupd xmmword ptr [rcx+240h], xmm3
[HIT] .text:00007FF6B9C60904 | sub_7FF6B9C60820 | add     rax, 240h
[HIT] .text:00007FF6B9C609DF | sub_7FF6B9C60820 | vbroadcastsd ymm8, qword ptr [rcx+rsi+240h]
[HIT] .text:00007FF6B9C616B2 | sub_7FF6B9C61550 | vmulpd  ymm21, ymm18, qword ptr [rcx+240h]{1to4}
[HIT] .text:00007FF6B9C61CCD | sub_7FF6B9C61550 | vmovsd  xmm31, qword ptr [rcx+240h]
[HIT] .text:00007FF6B9C6225A | sub_7FF6B9C61550 | vmovupd xmmword ptr [rcx+240h], xmm24
[HIT] .text:00007FF6B9C62D55 | sub_7FF6B9C62900 | vmovupd xmmword ptr [rcx+240h], xmm3
[HIT] .text:00007FF6B9C633E8 | sub_7FF6B9C63310 | vmovupd xmm4, xmmword ptr [rcx+240h]
[HIT] .text:00007FF6B9C63AE4 | sub_7FF6B9C63310 | vmovupd xmmword ptr [rcx+240h], xmm16
[HIT] .text:00007FF6B9C64160 | sub_7FF6B9C640F0 | add     r8, 240h
[HIT] .text:00007FF6B9C64167 | sub_7FF6B9C640F0 | vmovsd  xmm21, qword ptr [rcx+r11+240h]
[HIT] .text:00007FF6B9C64B45 | sub_7FF6B9C64B20 | vmovupd xmm4, xmmword ptr [rcx+240h]
[HIT] .text:00007FF6B9C652F7 | sub_7FF6B9C64B20 | vmovupd xmmword ptr [rcx+240h], xmm3
[HIT] .text:00007FF6B9C659C3 | sub_7FF6B9C65910 | add     rax, 240h
[HIT] .text:00007FF6B9C65AB0 | sub_7FF6B9C65910 | vbroadcastsd ymm8, qword ptr [rcx+rsi+240h]
[HIT] .text:00007FF6B9C66725 | sub_7FF6B9C665D0 | vmulpd  ymm21, ymm18, qword ptr [rcx+240h]{1to4}
[HIT] .text:00007FF6B9C66D12 | sub_7FF6B9C665D0 | vmovsd  xmm31, qword ptr [rcx+240h]
[HIT] .text:00007FF6B9C6729F | sub_7FF6B9C665D0 | vmovupd xmmword ptr [rcx+240h], xmm24
[HIT] .text:00007FF6B9C67D55 | sub_7FF6B9C67950 | vmovupd xmmword ptr [rcx+240h], xmm7
[HIT] .text:00007FF6B9C683D4 | sub_7FF6B9C682B0 | vmovupd xmm0, xmmword ptr [rcx+240h]
[HIT] .text:00007FF6B9C68AA2 | sub_7FF6B9C682B0 | vmovupd xmmword ptr [rcx+240h], xmm10
[HIT] .text:00007FF6B9C693B9 | sub_7FF6B9C682B0 | vmovupd xmmword ptr [rcx+240h], xmm10
[HIT] .text:00007FF6B9C69A25 | sub_7FF6B9C69980 | lea     r8, [rcx+rsi+240h]
[HIT] .text:00007FF6B9C69A36 | sub_7FF6B9C69980 | vmovupd xmm5, xmmword ptr [rcx+rsi+240h]
[HIT] .text:00007FF6B9C6A599 | sub_7FF6B9C6A500 | vmovupd xmm0, xmmword ptr [rcx+240h]
[HIT] .text:00007FF6B9C6AE7A | sub_7FF6B9C6A500 | vmovupd xmmword ptr [rcx+240h], xmm2
[HIT] .text:00007FF6B9C6B700 | sub_7FF6B9C6A500 | vmovupd xmmword ptr [rcx+240h], xmm2
[HIT] .text:00007FF6B9C6BE45 | sub_7FF6B9C6BCE0 | vbroadcastsd ymm4, qword ptr [rcx+rax+240h]
[HIT] .text:00007FF6B9C6BED3 | sub_7FF6B9C6BCE0 | lea     rax, [rcx+rax+240h]
[HIT] .text:00007FF6B9C6CECC | sub_7FF6B9C6CD70 | vbroadcastsd ymm13, qword ptr [rcx+240h]
[HIT] .text:00007FF6B9C6D511 | sub_7FF6B9C6CD70 | vbroadcastsd ymm13, qword ptr [rcx+240h]
[HIT] .text:00007FF6B9C6DA7A | sub_7FF6B9C6CD70 | vmovsd  xmm12, qword ptr [rcx+240h]
[HIT] .text:00007FF6B9C6DF90 | sub_7FF6B9C6CD70 | vmovupd xmmword ptr [rcx+240h], xmm3
[HIT] .text:00007FF6B9C6E601 | sub_7FF6B9C6CD70 | vmovsd  xmm0, qword ptr [rcx+240h]
[HIT] .text:00007FF6B9C6EB11 | sub_7FF6B9C6CD70 | vmovupd xmmword ptr [rcx+240h], xmm2
