// Dump around 0x14aa42318 (target ServerAcknowledgePossession entry)
// Each line = qword + resolved name + (string content if applicable)

     0x14aa41b18  qword=0x14aa410b0  off_14AA410B0
     0x14aa41b20  qword=0x14aa410f0  off_14AA410F0
     0x14aa41b28  qword=0x14aa41150  off_14AA41150
     0x14aa41b30  qword=0x14aa41190  off_14AA41190
     0x14aa41b38  qword=0x14aa411d0  off_14AA411D0
     0x14aa41b40  qword=0x14aa41280  off_14AA41280
     0x14aa41b48  qword=0x14aa41300  off_14AA41300
     0x14aa41b50  qword=0x14aa41380  off_14AA41380
     0x14aa41b58  qword=0x14aa41400  off_14AA41400
     0x14aa41b60  qword=0x14aa41480  off_14AA41480
     0x14aa41b68  qword=0x14aa41500  off_14AA41500
     0x14aa41b70  qword=0x14aa41570  off_14AA41570
     0x14aa41b78  qword=0x14aa415b0  off_14AA415B0
     0x14aa41b80  qword=0x14aa415f0  off_14AA415F0
     0x14aa41b88  qword=0x14aa41630  off_14AA41630
     0x14aa41b90  qword=0x14aa41670  off_14AA41670
     0x14aa41b98  qword=0x14aa416b0  off_14AA416B0
     0x14aa41ba0  qword=0x14aa416f0  off_14AA416F0
     0x14aa41ba8  qword=0x14aa41728  off_14AA41728
     0x14aa41bb0  qword=0x14aa41760  off_14AA41760
     0x14aa41bb8  qword=0x14aa417a0  off_14AA417A0
     0x14aa41bc0  qword=0x14aa417e0  off_14AA417E0
     0x14aa41bc8  qword=0x14aa41820  off_14AA41820
     0x14aa41bd0  qword=0x14aa41860  off_14AA41860
     0x14aa41bd8  qword=0x14aa418b0  off_14AA418B0
     0x14aa41be0  qword=0x14aa418f0  off_14AA418F0
     0x14aa41be8  qword=0x14aa41930  off_14AA41930
     0x14aa41bf0  qword=0x14aa41970  off_14AA41970
     0x14aa41bf8  qword=0x14aa419b0  off_14AA419B0
     0x14aa41c00  qword=0x143ec1990  sub_143EC1990  "H"
     0x14aa41c08  qword=0x143ad5e20  sub_143AD5E20  "H"
     0x14aa41c10  qword=0x1443f8570  sub_1443F8570  "H"
     0x14aa41c18  qword=0x14aa47c40  aActivatetouchi  "ActivateTouchInterface"
     0x14aa41c20  qword=0x1443f8600  sub_1443F8600  "H"
     0x14aa41c28  qword=0x14aa47e30  aAddpitchinput  "AddPitchInput"
     0x14aa41c30  qword=0x1443f8690  sub_1443F8690  "H"
     0x14aa41c38  qword=0x14aa47ee8  aAddrollinput  "AddRollInput"
     0x14aa41c40  qword=0x1443f8720  sub_1443F8720  "H"
     0x14aa41c48  qword=0x14aa48038  aAddyawinput  "AddYawInput"
     0x14aa41c50  qword=0x1443f8830  sub_1443F8830  "H"
     0x14aa41c58  qword=0x14aa48208  aBroadcastexec_0  "BroadcastExec"
     0x14aa41c60  qword=0x1443f8950  sub_1443F8950  "H"
     0x14aa41c68  qword=0x14aa48408  aBroadcastrpc_0  "BroadcastRPC"
     0x14aa41c70  qword=0x1443f8b20  sub_1443F8B20  "H"
     0x14aa41c78  qword=0x14aa48600  aBroadcasttoser_1  "BroadcastToServersInRadiusExec"
     0x14aa41c80  qword=0x1443f8be0  sub_1443F8BE0  "H"
     0x14aa41c88  qword=0x149e2815c  aCamera  "Camera"
     0x14aa41c90  qword=0x1443f8c60  sub_1443F8C60  "H"
     0x14aa41c98  qword=0x14aa48b00  aCanrestartplay  "CanRestartPlayer"
     0x14aa41ca0  qword=0x1443f8cc0  sub_1443F8CC0  "H"
     0x14aa41ca8  qword=0x14aa48b60  aClearaudiolist  "ClearAudioListenerAttenuationOverride"
     0x14aa41cb0  qword=0x1443f8d50  sub_1443F8D50  "H"
     0x14aa41cb8  qword=0x14aa48dd0  aClearaudiolist_0  "ClearAudioListenerOverride"
     0x14aa41cc0  qword=0x1443f8e20  sub_1443F8E20  "H"
     0x14aa41cc8  qword=0x14aa49388  aClientacktimed_0  "ClientAckTimeDilation"
     0x14aa41cd0  qword=0x1443f90c0  sub_1443F90C0  "H"
     0x14aa41cd8  qword=0x14aa49770  aClientackupdat_0  "ClientAckUpdateLevelVisibility"
     0x14aa41ce0  qword=0x1443f9140  sub_1443F9140  "H"
     0x14aa41ce8  qword=0x14aa49d28  aClientaddtextu_0  "ClientAddTextureStreamingLoc"
     0x14aa41cf0  qword=0x1443f91a0  sub_1443F91A0  "H"
     0x14aa41cf8  qword=0x14aa49e28  aClientcancelpe_0  "ClientCancelPendingMapChange"
     0x14aa41d00  qword=0x1443f9200  sub_1443F9200  "H"
     0x14aa41d08  qword=0x14aa49f10  aClientcapbandw_0  "ClientCapBandwidth"
     0x14aa41d10  qword=0x1443f9260  sub_1443F9260  "H"
     0x14aa41d18  qword=0x14aa49fb0  aClientclearcam_0  "ClientClearCameraLensEffects"
     0x14aa41d20  qword=0x1443f9290  sub_1443F9290  "H"
     0x14aa41d28  qword=0x14aa4a128  aClientcommitma_0  "ClientCommitMapChange"
     0x14aa41d30  qword=0x1443f92f0  sub_1443F92F0  "H"
     0x14aa41d38  qword=0x14aa4a228  aClientenablene_0  "ClientEnableNetworkVoice"
     0x14aa41d40  qword=0x1443f9350  sub_1443F9350  "H"
     0x14aa41d48  qword=0x14aa4a308  aClientendonlin_0  "ClientEndOnlineSession"
     0x14aa41d50  qword=0x1443f93b0  sub_1443F93B0  "H"
     0x14aa41d58  qword=0x14aa4a388  aClientflushlev_0  "ClientFlushLevelStreaming"
     0x14aa41d60  qword=0x1443f9410  sub_1443F9410  "H"
     0x14aa41d68  qword=0x14aa4a3e8  aClientforcegar_0  "ClientForceGarbageCollection"
     0x14aa41d70  qword=0x1443f9840  sub_1443F9840  "H"
     0x14aa41d78  qword=0x14aa4a710  aClientgameende_0  "ClientGameEnded"
     0x14aa41d80  qword=0x1443f98d0  sub_1443F98D0  "H"
     0x14aa41d88  qword=0x14aa4a810  aClientgotostat_0  "ClientGotoState"
     0x14aa41d90  qword=0x1443f9930  sub_1443F9930  "H"
     0x14aa41d98  qword=0x14aa4abb0  aClientignorelo_0  "ClientIgnoreLookInput"
     0x14aa41da0  qword=0x1443f9960  sub_1443F9960  "H"
